,code,open,high,low,close,volume,time_key
95,FHSI,19809.0,19889.0,19450.0,19532.0,31,20221219
96,FHSI,19567.0,19567.0,19033.0,19216.0,88,20221220
97,FHSI,19232.0,19330.0,19198.0,19273.0,98,20221221
98,FHSI,19300.0,19818.0,19275.0,19787.0,208,20221222
99,FHSI,19775.0,19775.0,19437.0,19650.0,581,20221223
100,FHSI,19670.0,19707.0,19508.0,19650.0,17,20221224
101,FHSI,19900.0,20240.0,19900.0,20141.0,688,20221228
102,FHSI,20114.0,20114.0,19680.0,19849.0,105,20221229
103,FHSI,19935.0,20175.0,19899.0,19944.0,28,20221230
104,FHSI,19810.0,19940.0,19809.0,19940.0,26,20221231
105,FHSI,19609.0,20312.0,19369.0,20263.0,379,20230103
106,FHSI,20292.0,20968.0,20269.0,20953.0,982,20230104
107,FHSI,20925.0,21490.0,20900.0,21242.0,795,20230105
108,FHSI,21256.0,21369.0,21090.0,21090.0,227,20230106
109,FHSI,21085.0,21479.0,21080.0,21450.0,25,20230107
110,FHSI,21500.0,21568.0,21331.0,21527.0,448,20230109
111,FHSI,21531.0,21608.0,21308.0,21461.0,649,20230110
112,FHSI,21398.0,21770.0,21398.0,21563.0,1087,20230111
113,FHSI,21575.0,21771.0,21317.0,21608.0,292,20230112
114,FHSI,21608.0,21805.0,21544.0,21791.0,317,20230113
115,FHSI,21793.0,21890.0,21754.0,21888.0,377,20230114
116,FHSI,21856.0,22001.0,21650.0,21723.0,739,20230116
117,FHSI,21710.0,21819.0,21499.0,21630.0,345,20230117
118,FHSI,21625.0,21748.0,21530.0,21710.0,71,20230118
119,FHSI,21828.0,21828.0,21408.0,21644.0,200,20230119
120,FHSI,21613.0,22070.0,21565.0,21989.0,453,20230120
121,FHSI,21970.0,22210.0,21970.0,21986.0,24,20230121
122,FHSI,22400.0,22598.0,22380.0,22597.0,787,20230126
123,FHSI,22556.0,22697.0,22498.0,22687.0,995,20230127
124,FHSI,22691.0,22718.0,22614.0,22695.0,605,20230128
125,FHSI,22627.0,22680.0,22050.0,22091.0,208,20230130
126,FHSI,22125.0,22286.0,21669.0,21861.0,244,20230131
127,FHSI,21835.0,22088.0,21751.0,22050.0,91,20230201
128,FHSI,22020.0,22307.0,21960.0,22041.0,238,20230202
129,FHSI,21800.0,21873.0,21478.0,21600.0,186,20230203
130,FHSI,21608.0,21750.0,21500.0,21595.0,14,20230204
131,FHSI,21300.0,21300.0,21090.0,21193.0,264,20230206
132,FHSI,21124.0,21480.0,21051.0,21285.0,186,20230207
133,FHSI,21252.0,21422.0,21135.0,21204.0,221,20230208
134,FHSI,21195.0,21636.0,21035.0,21623.0,570,20230209
135,FHSI,21650.0,21650.0,21123.0,21156.0,442,20230210
136,FHSI,21027.0,21049.0,21000.0,21049.0,15,20230211
137,FHSI,20885.0,21170.0,20800.0,21098.0,406,20230213
138,FHSI,21120.0,21266.0,21018.0,21022.0,67,20230214
139,FHSI,21108.0,21128.0,20680.0,20737.0,117,20230215
140,FHSI,20735.0,21226.0,20683.0,20920.0,421,20230216
141,FHSI,20873.0,20954.0,20550.0,20550.0,72,20230217
142,FHSI,20574.0,20600.0,20421.0,20421.0,28,20230218
143,FHSI,20529.0,20903.0,20529.0,20792.0,365,20230220
144,FHSI,20770.0,20872.0,20433.0,20453.0,134,20230221
145,FHSI,20404.0,20541.0,20266.0,20269.0,361,20230222
146,FHSI,20308.0,20503.0,20235.0,20283.0,423,20230223
147,FHSI,20261.0,20289.0,19862.0,19880.0,461,20230224
148,FHSI,19908.0,19908.0,19600.0,19642.0,82,20230225
149,FHSI,19698.0,20000.0,19698.0,19846.0,350,20230227
150,FHSI,19874.0,20101.0,19660.0,19673.0,455,20230228
151,FHSI,19673.0,20578.0,19668.0,20518.0,354,20230301
152,FHSI,20460.0,20480.0,20327.0,20388.0,114,20230302
153,FHSI,20350.0,20698.0,20350.0,20540.0,82,20230303
154,FHSI,20537.0,20608.0,20537.0,20608.0,6,20230304
155,FHSI,20480.0,20648.0,20300.0,20552.0,102,20230306
156,FHSI,20537.0,20982.0,20335.0,20518.0,189,20230307
157,FHSI,20496.0,20506.0,19921.0,19963.0,220,20230308
158,FHSI,20005.0,20102.0,19855.0,19859.0,117,20230309
159,FHSI,19839.0,19856.0,19210.0,19225.0,944,20230310
160,FHSI,19270.0,19405.0,19243.0,19280.0,44,20230311
161,FHSI,19300.0,19700.0,19300.0,19542.0,76,20230313
162,FHSI,19470.0,19521.0,19030.0,19172.0,1037,20230314
163,FHSI,19214.0,19668.0,19138.0,19508.0,260,20230315
164,FHSI,19315.0,19315.0,18930.0,19039.0,423,20230316
165,FHSI,19018.0,19509.0,18940.0,19490.0,549,20230317
166,FHSI,19498.0,19498.0,19099.0,19150.0,81,20230318
167,FHSI,19263.0,19263.0,18740.0,18816.0,720,20230320
168,FHSI,18926.0,19200.0,18872.0,19167.0,362,20230321
169,FHSI,19168.0,19688.0,19168.0,19502.0,311,20230322
170,FHSI,19560.0,19966.0,19448.0,19933.0,258,20230323
171,FHSI,19898.0,20104.0,19750.0,19800.0,569,20230324
172,FHSI,19720.0,19748.0,19573.0,19700.0,31,20230325
173,FHSI,19750.0,19851.0,19408.0,19511.0,599,20230327
174,FHSI,19516.0,19808.0,19450.0,19700.0,1207,20230328
175,FHSI,19812.0,20450.0,19739.0,20148.0,1255,20230329
176,FHSI,20126.0,20272.0,19938.0,20243.0,491,20230330
177,FHSI,20244.0,20700.0,20221.0,20413.0,928,20230331
