"Date","Time","Open","High","Low","Close","TotalVolume"
3/4/2023,14:43:00,20387,20391,20383,20384,132
3/4/2023,14:44:00,20384,20390,20379,20380,145
3/4/2023,14:45:00,20380,20383,20378,20378,114
3/4/2023,14:46:00,20378,20385,20371,20372,228
3/4/2023,14:47:00,20374,20381,20371,20374,131
3/4/2023,14:48:00,20374,20384,20373,20379,111
3/4/2023,14:49:00,20380,20380,20369,20371,154
3/4/2023,14:50:00,20369,20372,20364,20366,152
3/4/2023,14:51:00,20365,20372,20361,20368,166
3/4/2023,14:52:00,20369,20373,20365,20367,157
3/4/2023,14:53:00,20366,20370,20360,20362,183
3/4/2023,14:54:00,20362,20382,20359,20382,157
3/4/2023,14:55:00,20381,20392,20378,20387,170
3/4/2023,14:56:00,20387,20387,20375,20383,166
3/4/2023,14:57:00,20383,20394,20383,20392,167
3/4/2023,14:58:00,20391,20396,20383,20387,150
3/4/2023,14:59:00,20383,20394,20382,20394,71
3/4/2023,15:00:00,20394,20402,20390,20397,167
3/4/2023,15:01:00,20396,20401,20384,20388,190
3/4/2023,15:02:00,20386,20404,20384,20391,84
3/4/2023,15:03:00,20392,20400,20390,20396,113
3/4/2023,15:04:00,20395,20407,20395,20395,159
3/4/2023,15:05:00,20398,20400,20389,20390,81
3/4/2023,15:06:00,20390,20390,20375,20377,149
3/4/2023,15:07:00,20377,20381,20372,20376,113
3/4/2023,15:08:00,20378,20379,20371,20372,82
3/4/2023,15:09:00,20372,20400,20372,20399,196
3/4/2023,15:10:00,20398,20406,20398,20398,103
3/4/2023,15:11:00,20399,20411,20393,20408,152
3/4/2023,15:12:00,20409,20416,20408,20411,152
3/4/2023,15:13:00,20409,20422,20407,20418,172
3/4/2023,15:14:00,20418,20426,20411,20411,185
3/4/2023,15:15:00,20412,20431,20412,20423,182
3/4/2023,15:16:00,20421,20428,20419,20423,137
3/4/2023,15:17:00,20423,20423,20407,20412,175
3/4/2023,15:18:00,20414,20427,20414,20419,135
3/4/2023,15:19:00,20424,20424,20403,20407,152
3/4/2023,15:20:00,20408,20422,20405,20422,139
3/4/2023,15:21:00,20422,20422,20408,20410,157
3/4/2023,15:22:00,20409,20411,20405,20411,101
3/4/2023,15:23:00,20412,20420,20397,20400,212
3/4/2023,15:24:00,20401,20403,20396,20403,103
3/4/2023,15:25:00,20403,20405,20392,20396,97
3/4/2023,15:26:00,20397,20398,20392,20395,74
3/4/2023,15:27:00,20397,20403,20388,20391,151
3/4/2023,15:28:00,20392,20397,20390,20390,92
3/4/2023,15:29:00,20390,20397,20383,20386,117
3/4/2023,15:30:00,20385,20390,20381,20382,120
3/4/2023,15:31:00,20382,20390,20381,20389,114
3/4/2023,15:32:00,20391,20395,20386,20395,163
3/4/2023,15:33:00,20394,20407,20394,20402,133
3/4/2023,15:34:00,20403,20410,20402,20406,102
3/4/2023,15:35:00,20407,20416,20404,20409,130
3/4/2023,15:36:00,20410,20412,20407,20408,92
3/4/2023,15:37:00,20409,20412,20406,20406,83
3/4/2023,15:38:00,20406,20408,20398,20401,112
3/4/2023,15:39:00,20401,20418,20401,20412,158
3/4/2023,15:40:00,20412,20416,20408,20412,93
3/4/2023,15:41:00,20413,20420,20409,20417,102
3/4/2023,15:42:00,20417,20419,20409,20409,246
3/4/2023,15:43:00,20410,20413,20406,20411,96
3/4/2023,15:44:00,20411,20419,20411,20417,72
3/4/2023,15:45:00,20417,20417,20409,20410,57
3/4/2023,15:46:00,20410,20421,20410,20420,136
3/4/2023,15:47:00,20420,20426,20420,20424,162
3/4/2023,15:48:00,20423,20424,20417,20420,284
3/4/2023,15:49:00,20419,20431,20419,20429,182
3/4/2023,15:50:00,20427,20428,20420,20422,82
3/4/2023,15:51:00,20424,20444,20424,20439,362
3/4/2023,15:52:00,20440,20454,20439,20452,304
3/4/2023,15:53:00,20452,20464,20451,20459,229
3/4/2023,15:54:00,20460,20460,20454,20459,163
3/4/2023,15:55:00,20459,20462,20446,20446,201
3/4/2023,15:56:00,20446,20454,20445,20451,165
3/4/2023,15:57:00,20451,20458,20447,20451,162
3/4/2023,15:58:00,20450,20453,20441,20452,153
3/4/2023,15:59:00,20453,20454,20442,20448,139
3/4/2023,16:00:00,20446,20452,20443,20452,155
3/4/2023,16:01:00,20453,20471,20449,20468,326
3/4/2023,16:02:00,20469,20479,20469,20472,227
3/4/2023,16:03:00,20473,20483,20461,20464,263
3/4/2023,16:04:00,20465,20467,20446,20455,224
3/4/2023,16:05:00,20457,20461,20451,20452,146
3/4/2023,16:06:00,20451,20454,20440,20440,287
3/4/2023,16:07:00,20442,20443,20426,20440,311
3/4/2023,16:08:00,20441,20442,20434,20436,184
3/4/2023,16:09:00,20436,20439,20425,20425,265
