"Date","Time","Open","High","Low","Close","TotalVolume"
01/12/2020,09:27:00,26465,26468,26458,26459,125
01/12/2020,09:28:00,26459,26471,26459,26470,104
01/12/2020,09:29:00,26469,26469,26461,26461,131
01/12/2020,09:30:00,26462,26478,26461,26475,165
01/12/2020,09:31:00,26476,26478,26426,26435,1364
01/12/2020,09:32:00,26436,26441,26411,26413,780
01/12/2020,09:33:00,26412,26430,26401,26407,665
01/12/2020,09:34:00,26406,26429,26399,26420,526
01/12/2020,09:35:00,26421,26423,26410,26416,331
01/12/2020,09:36:00,26417,26431,26407,26421,848
01/12/2020,09:37:00,26421,26454,26419,26435,602
01/12/2020,09:38:00,26434,26434,26393,26396,592
01/12/2020,09:39:00,26396,26401,26382,26394,468
01/12/2020,09:40:00,26392,26400,26387,26396,368
01/12/2020,09:41:00,26396,26415,26394,26412,420
01/12/2020,09:42:00,26412,26415,26400,26404,283
01/12/2020,09:43:00,26402,26428,26395,26428,346
01/12/2020,09:44:00,26429,26452,26423,26449,464
01/12/2020,09:45:00,26450,26469,26449,26462,570
01/12/2020,09:46:00,26461,26474,26459,26470,380
01/12/2020,09:47:00,26469,26478,26453,26458,328
01/12/2020,09:48:00,26457,26464,26451,26453,207
01/12/2020,09:49:00,26454,26478,26449,26473,315
01/12/2020,09:50:00,26472,26477,26461,26464,367
01/12/2020,09:51:00,26465,26469,26440,26468,361
01/12/2020,09:52:00,26467,26473,26456,26466,240
01/12/2020,09:53:00,26466,26484,26462,26484,319
01/12/2020,09:54:00,26483,26484,26455,26457,390
01/12/2020,09:55:00,26456,26461,26437,26449,474
01/12/2020,09:56:00,26449,26463,26447,26447,296
01/12/2020,09:57:00,26447,26467,26439,26463,377
01/12/2020,09:58:00,26464,26488,26462,26471,751
01/12/2020,09:59:00,26471,26472,26451,26453,230
01/12/2020,10:00:00,26453,26463,26452,26453,161
01/12/2020,10:01:00,26451,26457,26423,26437,645
01/12/2020,10:02:00,26433,26452,26431,26435,274
01/12/2020,10:03:00,26431,26441,26427,26440,230
01/12/2020,10:04:00,26438,26471,26437,26459,421
01/12/2020,10:05:00,26460,26469,26457,26462,251
01/12/2020,10:06:00,26462,26481,26462,26478,362
01/12/2020,10:07:00,26478,26484,26468,26470,279
01/12/2020,10:08:00,26471,26485,26471,26477,231
01/12/2020,10:09:00,26478,26483,26472,26481,180
01/12/2020,10:10:00,26480,26485,26471,26471,169
01/12/2020,10:11:00,26471,26472,26451,26458,365
01/12/2020,10:12:00,26457,26462,26448,26457,280
01/12/2020,10:13:00,26458,26488,26456,26488,469
01/12/2020,10:14:00,26488,26514,26487,26490,753
01/12/2020,10:15:00,26490,26497,26476,26496,299
01/12/2020,10:16:00,26496,26512,26495,26508,386
01/12/2020,10:17:00,26508,26526,26508,26517,514
01/12/2020,10:18:00,26516,26528,26515,26522,208
01/12/2020,10:19:00,26522,26527,26505,26506,293
01/12/2020,10:20:00,26506,26518,26501,26511,265
01/12/2020,10:21:00,26513,26515,26501,26506,159
01/12/2020,10:22:00,26505,26509,26496,26500,365
01/12/2020,10:23:00,26500,26503,26496,26500,177
01/12/2020,10:24:00,26499,26499,26487,26489,291
01/12/2020,10:25:00,26491,26498,26487,26493,118
01/12/2020,10:26:00,26494,26504,26492,26504,316
01/12/2020,10:27:00,26505,26506,26495,26499,205
01/12/2020,10:28:00,26498,26500,26490,26498,118
01/12/2020,10:29:00,26499,26508,26493,26497,156
01/12/2020,10:30:00,26497,26510,26490,26503,161
01/12/2020,10:31:00,26505,26515,26492,26500,236
01/12/2020,10:32:00,26500,26502,26475,26480,340
01/12/2020,10:33:00,26480,26486,26477,26480,154
01/12/2020,10:34:00,26481,26489,26481,26485,114
01/12/2020,10:35:00,26484,26489,26482,26489,108
01/12/2020,10:36:00,26489,26490,26482,26488,125
01/12/2020,10:37:00,26488,26494,26485,26488,115
01/12/2020,10:38:00,26488,26490,26484,26487,141
01/12/2020,10:39:00,26488,26494,26475,26494,274
01/12/2020,10:40:00,26493,26504,26486,26503,174
01/12/2020,10:41:00,26504,26518,26501,26512,367
01/12/2020,10:42:00,26511,26517,26511,26512,135
01/12/2020,10:43:00,26513,26516,26508,26511,123
01/12/2020,10:44:00,26512,26518,26505,26512,194
01/12/2020,10:45:00,26511,26512,26497,26499,188
01/12/2020,10:46:00,26499,26506,26493,26504,175
01/12/2020,10:47:00,26504,26517,26504,26513,219
01/12/2020,10:48:00,26513,26536,26513,26532,426
01/12/2020,10:49:00,26533,26537,26517,26519,301
01/12/2020,10:50:00,26520,26521,26503,26506,216
01/12/2020,10:51:00,26505,26516,26499,26514,224
01/12/2020,10:52:00,26513,26527,26513,26526,188
01/12/2020,10:53:00,26526,26537,26523,26536,222
01/12/2020,10:54:00,26534,26545,26534,26539,290
01/12/2020,10:55:00,26538,26543,26536,26539,224
01/12/2020,10:56:00,26541,26548,26538,26544,181
01/12/2020,10:57:00,26544,26546,26531,26535,224
01/12/2020,10:58:00,26537,26547,26535,26536,162
01/12/2020,10:59:00,26535,26551,26535,26546,217
01/12/2020,11:00:00,26545,26550,26531,26531,244
01/12/2020,11:01:00,26531,26548,26530,26536,225
01/12/2020,11:02:00,26536,26536,26527,26529,187
01/12/2020,11:03:00,26527,26555,26525,26555,303
01/12/2020,11:04:00,26555,26562,26542,26546,438
01/12/2020,11:05:00,26547,26556,26547,26554,158
01/12/2020,11:06:00,26556,26562,26552,26557,298
01/12/2020,11:07:00,26558,26565,26550,26553,228
01/12/2020,11:08:00,26554,26555,26543,26545,174
01/12/2020,11:09:00,26545,26552,26544,26546,141
01/12/2020,11:10:00,26546,26557,26545,26556,188
01/12/2020,11:11:00,26554,26556,26548,26550,141
01/12/2020,11:12:00,26551,26569,26551,26556,259
01/12/2020,11:13:00,26558,26565,26552,26565,194
01/12/2020,11:14:00,26564,26574,26564,26568,221
01/12/2020,11:15:00,26568,26578,26563,26574,281
01/12/2020,11:16:00,26575,26582,26572,26577,394
01/12/2020,11:17:00,26576,26581,26574,26577,205
01/12/2020,11:18:00,26577,26578,26565,26569,195
01/12/2020,11:19:00,26570,26584,26569,26581,237
01/12/2020,11:20:00,26582,26589,26571,26582,374
01/12/2020,11:21:00,26583,26591,26583,26590,331
01/12/2020,11:22:00,26589,26607,26586,26607,615
01/12/2020,11:23:00,26605,26608,26589,26589,474
01/12/2020,11:24:00,26591,26593,26580,26588,312
01/12/2020,11:25:00,26588,26592,26575,26576,308
01/12/2020,11:26:00,26575,26582,26566,26578,337
01/12/2020,11:27:00,26580,26594,26580,26592,431
01/12/2020,11:28:00,26592,26593,26580,26585,230
01/12/2020,11:29:00,26586,26587,26578,26586,129
01/12/2020,11:30:00,26584,26590,26578,26584,140
01/12/2020,11:31:00,26584,26603,26584,26600,259
01/12/2020,11:32:00,26601,26604,26594,26596,146
01/12/2020,11:33:00,26597,26597,26585,26596,188
01/12/2020,11:34:00,26597,26601,26597,26598,93
01/12/2020,11:35:00,26598,26598,26589,26590,87
01/12/2020,11:36:00,26589,26597,26589,26593,95
01/12/2020,11:37:00,26596,26596,26590,26590,52
01/12/2020,11:38:00,26591,26603,26591,26603,95
01/12/2020,11:39:00,26602,26632,26601,26625,700
01/12/2020,11:40:00,26624,26631,26624,26627,297
01/12/2020,11:41:00,26625,26632,26624,26629,264
01/12/2020,11:42:00,26628,26636,26624,26624,201
01/12/2020,11:43:00,26624,26625,26613,26614,187
01/12/2020,11:44:00,26613,26613,26608,26610,152
01/12/2020,11:45:00,26610,26612,26601,26607,150
01/12/2020,11:46:00,26606,26608,26599,26599,137
01/12/2020,11:47:00,26601,26602,26587,26588,179
01/12/2020,11:48:00,26587,26590,26584,26590,209
01/12/2020,11:49:00,26589,26589,26573,26575,265
01/12/2020,11:50:00,26573,26576,26567,26575,189
01/12/2020,11:51:00,26575,26584,26573,26584,213
01/12/2020,11:52:00,26581,26581,26572,26576,162
01/12/2020,11:53:00,26577,26579,26571,26577,87
01/12/2020,11:54:00,26577,26581,26570,26573,119
01/12/2020,11:55:00,26571,26579,26571,26578,71
01/12/2020,11:56:00,26579,26579,26564,26567,215
01/12/2020,11:57:00,26567,26582,26566,26580,107
01/12/2020,11:58:00,26579,26580,26575,26576,95
01/12/2020,11:59:00,26577,26591,26576,26590,156
01/12/2020,12:00:00,26589,26590,26584,26587,154
01/12/2020,13:01:00,26610,26610,26585,26586,431
01/12/2020,13:02:00,26587,26603,26587,26600,183
01/12/2020,13:03:00,26600,26607,26599,26599,101
01/12/2020,13:04:00,26605,26605,26590,26598,130
01/12/2020,13:05:00,26596,26596,26581,26586,151
01/12/2020,13:06:00,26586,26586,26569,26574,291
01/12/2020,13:07:00,26574,26579,26572,26573,118
01/12/2020,13:08:00,26573,26573,26560,26563,229
01/12/2020,13:09:00,26563,26566,26551,26556,197
01/12/2020,13:10:00,26554,26568,26553,26568,374
01/12/2020,13:11:00,26567,26577,26565,26576,141
01/12/2020,13:12:00,26576,26582,26574,26580,134
01/12/2020,13:13:00,26581,26588,26580,26584,167
01/12/2020,13:14:00,26585,26600,26585,26594,187
01/12/2020,13:15:00,26595,26601,26592,26593,117
01/12/2020,13:16:00,26595,26601,26593,26595,117
01/12/2020,13:17:00,26595,26597,26593,26596,87
01/12/2020,13:18:00,26597,26620,26596,26615,295
01/12/2020,13:19:00,26615,26615,26603,26609,146
01/12/2020,13:20:00,26609,26622,26608,26617,165
01/12/2020,13:21:00,26618,26624,26616,26620,74
01/12/2020,13:22:00,26620,26634,26619,26633,208
01/12/2020,13:23:00,26633,26638,26625,26626,261
01/12/2020,13:24:00,26626,26628,26621,26622,150
01/12/2020,13:25:00,26623,26626,26613,26618,196
01/12/2020,13:26:00,26618,26627,26618,26620,151
01/12/2020,13:27:00,26622,26622,26605,26608,198
01/12/2020,13:28:00,26610,26616,26606,26608,159
01/12/2020,13:29:00,26606,26612,26606,26611,73
01/12/2020,13:30:00,26612,26614,26594,26598,244
01/12/2020,13:31:00,26596,26606,26595,26605,162
01/12/2020,13:32:00,26605,26615,26601,26607,140
01/12/2020,13:33:00,26608,26614,26607,26613,91
01/12/2020,13:34:00,26614,26615,26609,26612,94
01/12/2020,13:35:00,26613,26622,26612,26620,142
01/12/2020,13:36:00,26621,26625,26611,26622,103
01/12/2020,13:37:00,26622,26656,26621,26647,675
01/12/2020,13:38:00,26648,26655,26637,26638,325
01/12/2020,13:39:00,26637,26639,26629,26635,260
01/12/2020,13:40:00,26635,26645,26631,26639,214
01/12/2020,13:41:00,26640,26644,26632,26642,139
01/12/2020,13:42:00,26643,26649,26642,26646,81
01/12/2020,13:43:00,26646,26648,26641,26647,124
01/12/2020,13:44:00,26647,26659,26644,26652,217
01/12/2020,13:45:00,26651,26657,26648,26648,108
01/12/2020,13:46:00,26647,26647,26628,26639,460
01/12/2020,13:47:00,26639,26640,26624,26624,146
01/12/2020,13:48:00,26624,26638,26623,26632,121
01/12/2020,13:49:00,26633,26636,26631,26634,52
01/12/2020,13:50:00,26634,26638,26626,26626,79
01/12/2020,13:51:00,26626,26629,26617,26621,172
01/12/2020,13:52:00,26621,26629,26618,26629,93
01/12/2020,13:53:00,26629,26644,26626,26638,203
01/12/2020,13:54:00,26637,26640,26625,26636,137
01/12/2020,13:55:00,26635,26639,26631,26633,69
01/12/2020,13:56:00,26633,26641,26630,26634,56
01/12/2020,13:57:00,26634,26635,26622,26628,132
01/12/2020,13:58:00,26627,26631,26622,26626,217
01/12/2020,13:59:00,26627,26632,26625,26630,77
01/12/2020,14:00:00,26632,26633,26622,26625,115
01/12/2020,14:01:00,26626,26632,26620,26626,145
01/12/2020,14:02:00,26625,26630,26620,26630,100
01/12/2020,14:03:00,26628,26628,26619,26622,66
01/12/2020,14:04:00,26622,26622,26611,26612,165
01/12/2020,14:05:00,26611,26618,26605,26613,222
01/12/2020,14:06:00,26611,26612,26605,26607,118
01/12/2020,14:07:00,26607,26607,26592,26600,335
01/12/2020,14:08:00,26600,26610,26592,26592,340
01/12/2020,14:09:00,26591,26600,26590,26600,144
01/12/2020,14:10:00,26599,26603,26596,26598,136
01/12/2020,14:11:00,26598,26598,26583,26585,202
01/12/2020,14:12:00,26583,26589,26579,26583,162
01/12/2020,14:13:00,26582,26600,26582,26596,129
01/12/2020,14:14:00,26595,26599,26593,26596,63
01/12/2020,14:15:00,26595,26595,26588,26589,82
01/12/2020,14:16:00,26590,26595,26576,26581,170
01/12/2020,14:17:00,26580,26582,26574,26578,183
01/12/2020,14:18:00,26580,26594,26580,26594,160
01/12/2020,14:19:00,26595,26600,26590,26599,139
01/12/2020,14:20:00,26599,26605,26595,26599,128
01/12/2020,14:21:00,26598,26604,26592,26602,162
01/12/2020,14:22:00,26601,26612,26600,26605,277
01/12/2020,14:23:00,26606,26608,26603,26603,140
01/12/2020,14:24:00,26603,26603,26585,26590,199
01/12/2020,14:25:00,26591,26598,26589,26596,159
01/12/2020,14:26:00,26598,26610,26598,26605,161
01/12/2020,14:27:00,26605,26609,26604,26605,103
01/12/2020,14:28:00,26605,26610,26602,26607,340
01/12/2020,14:29:00,26605,26615,26604,26610,272
01/12/2020,14:30:00,26609,26619,26608,26609,192
01/12/2020,14:31:00,26609,26615,26590,26592,265
01/12/2020,14:32:00,26589,26594,26587,26588,191
01/12/2020,14:33:00,26591,26592,26581,26582,167
01/12/2020,14:34:00,26582,26590,26581,26589,105
01/12/2020,14:35:00,26591,26600,26591,26596,145
01/12/2020,14:36:00,26596,26619,26594,26617,247
01/12/2020,14:37:00,26615,26619,26608,26612,185
01/12/2020,14:38:00,26614,26614,26608,26610,85
01/12/2020,14:39:00,26609,26615,26609,26611,61
01/12/2020,14:40:00,26611,26612,26594,26595,123
01/12/2020,14:41:00,26594,26596,26587,26590,125
01/12/2020,14:42:00,26591,26596,26587,26589,69
01/12/2020,14:43:00,26587,26590,26584,26590,83
01/12/2020,14:44:00,26590,26590,26575,26576,148
01/12/2020,14:45:00,26577,26577,26565,26571,280
01/12/2020,14:46:00,26570,26582,26569,26573,176
01/12/2020,14:47:00,26574,26581,26572,26577,88
01/12/2020,14:48:00,26576,26577,26564,26565,194
01/12/2020,14:49:00,26563,26576,26560,26575,184
01/12/2020,14:50:00,26574,26580,26571,26571,99
01/12/2020,14:51:00,26572,26578,26570,26575,67
01/12/2020,14:52:00,26574,26574,26568,26568,130
01/12/2020,14:53:00,26568,26571,26562,26569,99
01/12/2020,14:54:00,26569,26573,26565,26565,70
01/12/2020,14:55:00,26565,26565,26560,26560,118
01/12/2020,14:56:00,26560,26565,26557,26565,143
01/12/2020,14:57:00,26564,26567,26562,26566,59
01/12/2020,14:58:00,26566,26569,26558,26559,96
01/12/2020,14:59:00,26560,26561,26555,26556,88
01/12/2020,15:00:00,26556,26569,26556,26563,113
01/12/2020,15:01:00,26564,26580,26564,26565,270
01/12/2020,15:02:00,26566,26572,26563,26570,143
01/12/2020,15:03:00,26569,26579,26565,26577,171
